Methods,int,str,bool
__abs__,yes,no,yes
__add__,yes,yes,yes
__and__,yes,no,yes
__bool__,yes,no,yes
__ceil__,yes,no,yes
__class__,yes,yes,yes
__contains__,no,yes,no
__delattr__,yes,yes,yes
__dir__,yes,yes,yes
__divmod__,yes,no,yes
__doc__,yes,yes,yes
__eq__,yes,yes,yes
__float__,yes,no,yes
__floor__,yes,no,yes
__floordiv__,yes,no,yes
__format__,yes,yes,yes
__ge__,yes,yes,yes
__getattribute__,yes,yes,yes
__getitem__,no,yes,no
__getnewargs__,yes,yes,yes
__gt__,yes,yes,yes
__hash__,yes,yes,yes
__index__,yes,no,yes
__init__,yes,yes,yes
__init_subclass__,yes,yes,yes
__int__,yes,no,yes
__invert__,yes,no,yes
__iter__,no,yes,no
__le__,yes,yes,yes
__len__,no,yes,no
__lshift__,yes,no,yes
__lt__,yes,yes,yes
__mod__,yes,yes,yes
__mul__,yes,yes,yes
__ne__,yes,yes,yes
__neg__,yes,no,yes
__new__,yes,yes,yes
__or__,yes,no,yes
__pos__,yes,no,yes
__pow__,yes,no,yes
__radd__,yes,no,yes
__rand__,yes,no,yes
__rdivmod__,yes,no,yes
__reduce__,yes,yes,yes
__reduce_ex__,yes,yes,yes
__repr__,yes,yes,yes
__rfloordiv__,yes,no,yes
__rlshift__,yes,no,yes
__rmod__,yes,yes,yes
__rmul__,yes,yes,yes
__ror__,yes,no,yes
__round__,yes,no,yes
__rpow__,yes,no,yes
__rrshift__,yes,no,yes
__rshift__,yes,no,yes
__rsub__,yes,no,yes
__rtruediv__,yes,no,yes
__rxor__,yes,no,yes
__setattr__,yes,yes,yes
__sizeof__,yes,yes,yes
__str__,yes,yes,yes
__sub__,yes,no,yes
__subclasshook__,yes,yes,yes
__truediv__,yes,no,yes
__trunc__,yes,no,yes
__xor__,yes,no,yes
as_integer_ratio,yes,no,yes
bit_length,yes,no,yes
capitalize,no,yes,no
casefold,no,yes,no
center,no,yes,no
conjugate,yes,no,yes
count,no,yes,no
denominator,yes,no,yes
encode,no,yes,no
endswith,no,yes,no
expandtabs,no,yes,no
find,no,yes,no
format,no,yes,no
format_map,no,yes,no
from_bytes,yes,no,yes
imag,yes,no,yes
index,no,yes,no
isalnum,no,yes,no
isalpha,no,yes,no
isascii,no,yes,no
isdecimal,no,yes,no
isdigit,no,yes,no
isidentifier,no,yes,no
islower,no,yes,no
isnumeric,no,yes,no
isprintable,no,yes,no
isspace,no,yes,no
istitle,no,yes,no
isupper,no,yes,no
join,no,yes,no
ljust,no,yes,no
lower,no,yes,no
lstrip,no,yes,no
maketrans,no,yes,no
numerator,yes,no,yes
partition,no,yes,no
real,yes,no,yes
replace,no,yes,no
rfind,no,yes,no
rindex,no,yes,no
rjust,no,yes,no
rpartition,no,yes,no
rsplit,no,yes,no
rstrip,no,yes,no
split,no,yes,no
splitlines,no,yes,no
startswith,no,yes,no
strip,no,yes,no
swapcase,no,yes,no
title,no,yes,no
to_bytes,yes,no,yes
translate,no,yes,no
upper,no,yes,no
zfill,no,yes,no
